latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
14.585685,100.271996,341.04,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,291.55,1.79,D,0
15.070942,102.976181,348.71,0.47,0.4,2019-04-01,0609,N,VIIRS,l,1,302.6,8.74,D,0
15.074575,102.97554,347.74,0.47,0.4,2019-04-01,0609,N,VIIRS,l,1,302.21,23.42,D,0
15.078213,102.974899,352.72,0.47,0.4,2019-04-01,0609,N,VIIRS,l,1,304.78,23.42,D,0
14.947826,102.020645,331.2,0.53,0.42,2019-04-01,0609,N,VIIRS,n,1,296.46,4.27,D,0
14.94699,102.015739,337.15,0.53,0.42,2019-04-01,0609,N,VIIRS,n,1,297.96,4.27,D,0
14.69368,100.554848,333.51,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,295.47,2.19,D,0
14.692966,100.550804,332.81,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,293.94,1.5,D,0
14.858057,101.401314,331.93,0.39,0.44,2019-04-01,0609,N,VIIRS,n,1,299.16,3.26,D,0
14.859628,101.400452,335.22,0.39,0.44,2019-04-01,0609,N,VIIRS,n,1,299.74,4.57,D,0
15.09354,102.712952,333.8,0.49,0.4,2019-04-01,0609,N,VIIRS,l,1,297.68,4.73,D,0
14.594999,99.829262,337.48,0.49,0.48,2019-04-01,0609,N,VIIRS,n,1,298.27,3.26,D,0
15.025748,102.094345,333.85,0.52,0.42,2019-04-01,0609,N,VIIRS,n,1,296.27,4.58,D,0
15.0304,102.098518,336.15,0.52,0.42,2019-04-01,0609,N,VIIRS,n,1,297.03,4.58,D,0
15.029563,102.093651,335.98,0.52,0.42,2019-04-01,0609,N,VIIRS,n,1,297.63,4.58,D,0
14.796891,100.57338,342.31,0.43,0.46,2019-04-01,0609,N,VIIRS,n,1,295.97,2.38,D,0
14.850498,100.828522,341.42,0.42,0.45,2019-04-01,0609,N,VIIRS,n,1,295.04,5.46,D,0
14.883462,100.968414,344.74,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,299.4,5.85,D,0
14.816544,100.586273,331,0.43,0.46,2019-04-01,0609,N,VIIRS,n,1,297.83,1.87,D,0
14.887564,100.967674,345.55,0.41,0.45,2019-04-01,0609,N,VIIRS,n,1,300.49,8.56,D,0
14.885907,100.968651,367,0.41,0.45,2019-04-01,0609,N,VIIRS,h,1,300.31,12.68,D,0
14.816335,100.587479,333.34,0.43,0.46,2019-04-01,0609,N,VIIRS,n,1,297.38,3.08,D,0
15.381497,103.800468,344.59,0.43,0.38,2019-04-01,0609,N,VIIRS,n,1,304.17,11.16,D,0
14.532214,98.970428,335.83,0.55,0.51,2019-04-01,0609,N,VIIRS,n,1,297.39,4.77,D,0
14.663352,99.515205,342.6,0.51,0.49,2019-04-01,0609,N,VIIRS,n,1,296.6,4.66,D,0
15.367507,103.498016,345.44,0.44,0.39,2019-04-01,0609,N,VIIRS,n,1,300.78,11.1,D,0
15.532035,104.266678,333.27,0.41,0.37,2019-04-01,0609,N,VIIRS,l,1,303,7.55,D,0
14.855761,100.197144,338.5,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,291.24,2.84,D,0
14.834175,100.050705,332.18,0.47,0.48,2019-04-01,0609,N,VIIRS,n,1,291.26,3.15,D,0
15.272091,102.566399,335.55,0.49,0.4,2019-04-01,0609,N,VIIRS,n,1,302.61,4.97,D,0
15.269619,102.563614,339.48,0.49,0.4,2019-04-01,0609,N,VIIRS,n,1,302.76,4.86,D,0
14.857623,100.197548,340.04,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,289.96,4.16,D,0
14.593766,98.67215,335.56,0.58,0.52,2019-04-01,0609,N,VIIRS,n,1,298.71,5.71,D,0
15.319322,102.564125,334.52,0.49,0.4,2019-04-01,0609,N,VIIRS,n,1,301.31,1.75,D,0
14.958897,100.486191,338.27,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,297.11,2.97,D,0
14.967916,100.463562,331.99,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,295.85,2.99,D,3
15.334742,102.542564,338.84,0.49,0.4,2019-04-01,0609,N,VIIRS,n,1,302.75,4.84,D,0
15.338449,102.541893,340.09,0.49,0.4,2019-04-01,0609,N,VIIRS,n,1,301.99,4.84,D,0
15.110076,101.168938,335.95,0.39,0.44,2019-04-01,0609,N,VIIRS,n,1,297.3,4.19,D,0
15.361802,102.61264,338.5,0.49,0.4,2019-04-01,0609,N,VIIRS,l,1,299.98,3.95,D,0
