latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
13.57364,105.58878,340.9,0.45,0.63,2020-03-04,05:30,N,nominal,1.0NRT,291.9,3.4,D
13.57327,105.58862,343.1,0.45,0.63,2020-03-04,05:30,N,nominal,1.0NRT,291.9,3.9,D
16.06765,120.5343,333,0.56,0.43,2020-03-04,05:30,N,nominal,1.0NRT,302,5.8,D
14.03191,107.76321,330.5,0.63,0.54,2020-03-04,05:30,N,nominal,1.0NRT,297.3,6.9,D
14.03668,107.76128,344.4,0.63,0.54,2020-03-04,05:30,N,nominal,1.0NRT,299,6.9,D
14.04168,107.76047,344.7,0.63,0.54,2020-03-04,05:30,N,nominal,1.0NRT,299.9,30.2,D
13.92804,107.17089,340.9,0.35,0.56,2020-03-04,05:30,N,nominal,1.0NRT,304.9,7,D
13.63739,105.69912,344.5,0.44,0.62,2020-03-04,05:30,N,nominal,1.0NRT,288.3,4.5,D
14.16717,108.31664,330.1,0.58,0.52,2020-03-04,05:30,N,nominal,1.0NRT,296.5,5.3,D
13.35304,104.17847,337.3,0.56,0.69,2020-03-04,05:30,N,nominal,1.0NRT,291.2,11.3,D
14.1,107.8245,340,0.62,0.54,2020-03-04,05:30,N,nominal,1.0NRT,299.4,6.6,D
13.70008,105.71617,344.1,0.44,0.62,2020-03-04,05:30,N,nominal,1.0NRT,291.2,6.2,D
13.92004,106.81975,367,0.36,0.58,2020-03-04,05:30,N,high,1.0NRT,296.7,34.1,D
13.91939,106.81634,346.6,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,298.6,28,D
13.90046,106.68877,367,0.37,0.58,2020-03-04,05:30,N,high,1.0NRT,297.3,8.2,D
13.92468,106.81526,339.9,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,297.3,4.7,D
13.90646,106.69115,332.3,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,298,8.2,D
14.04681,107.403,331.3,0.33,0.55,2020-03-04,05:30,N,nominal,1.0NRT,294.7,2,D
13.92097,106.7382,330.5,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,299.2,2.6,D
13.75086,105.85524,351.8,0.43,0.62,2020-03-04,05:30,N,nominal,1.0NRT,295.4,5.6,D
14.0519,107.40204,331.3,0.33,0.55,2020-03-04,05:30,N,nominal,1.0NRT,294,2,D
13.92628,106.7371,341.3,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,298.7,2.6,D
14.17519,108.01031,339.6,0.6,0.53,2020-03-04,05:30,N,nominal,1.0NRT,293.8,5.3,D
13.92301,106.81421,367,0.36,0.58,2020-03-04,05:30,N,high,1.0NRT,297.8,6.5,D
13.92368,106.81759,341,0.36,0.58,2020-03-04,05:30,N,nominal,1.0NRT,296.1,7.1,D
13.89855,106.69142,332.1,0.37,0.58,2020-03-04,05:30,N,nominal,1.0NRT,298,3.6,D
